trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.6, 'e': 0.5048858887870696}",20,9,-9.343946140708452,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.6, 'e': 0.4998370298991989}",35,16,-77.668926295913,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 1}",1
71,False,"{'a': 0.6, 'e': 0.49483865960020695}",25,17,-39.864770094844985,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.6, 'e': 0.4898902730042049}",20,4,-65.04363338881342,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
73,False,"{'a': 0.6, 'e': 0.48499137027416284}",30,0,-34.76505153303609,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
74,False,"{'a': 0.6, 'e': 0.4801414565714212}",25,0,-109.2089660612333,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
75,False,"{'a': 0.6, 'e': 0.47534004200570695}",20,0,-71.8345972414521,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
76,False,"{'a': 0.6, 'e': 0.4705866415856499}",25,0,-111.56979568655474,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
77,False,"{'a': 0.6, 'e': 0.46588077516979337}",20,0,-47.77334120739507,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.6, 'e': 0.46122196741809546}",25,0,-38.909864605656544,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
79,False,"{'a': 0.6, 'e': 0.4566097477439145}",25,0,-4.479233315362326,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
80,False,"{'a': 0.6, 'e': 0.45204365026647536}",25,16,-38.87061874267065,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.6, 'e': 0.4475232137638106}",20,0,-29.81654455011869,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
82,False,"{'a': 0.6, 'e': 0.4430479816261725}",25,3,16.07836509117693,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.43861750180991077}",25,0,-69.90702230727305,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
84,False,"{'a': 0.6, 'e': 0.43423132679181164}",25,0,-23.953822146682676,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
85,False,"{'a': 0.6, 'e': 0.4298890135238935}",30,0,-78.33358320590324,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
86,False,"{'a': 0.6, 'e': 0.4255901233886546}",20,0,-55.821798279677736,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
87,False,"{'a': 0.6, 'e': 0.421334222154768}",20,8,-15.71198323447194,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.41712087993322033}",25,0,4.690544446667548,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.6, 'e': 0.41294967113388814}",30,0,-91.83955362136875,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
90,False,"{'a': 0.6, 'e': 0.40882017442254925}",25,5,-59.29151292611004,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",1
91,False,"{'a': 0.6, 'e': 0.4047319726783238}",20,0,-97.21199305249226,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",1
92,False,"{'a': 0.6, 'e': 0.40068465295154054}",20,0,-69.62753700047192,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
93,False,"{'a': 0.6, 'e': 0.3966778064220251}",25,8,-88.15002885629227,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 1}",1
94,False,"{'a': 0.6, 'e': 0.39271102835780486}",25,11,-9.66085280824712,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.3887839180742268}",20,0,-47.75405849102138,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.6, 'e': 0.38489607889348454}",20,2,-58.86048873919829,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
97,False,"{'a': 0.6, 'e': 0.38104711810454966}",30,1,-71.63731296785767,"{0: 19, 1: 0, 2: 10, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.37723664692350417}",20,15,-0.8452487404140125,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.37346428045426916}",25,11,-19.094113635261365,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.6, 'e': 0.36972963764972644}",25,0,-74.79453619273006,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
101,False,"{'a': 0.6, 'e': 0.3660323412732292}",30,0,-143.98440734667935,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
102,False,"{'a': 0.6, 'e': 0.3623720178604969}",20,0,-42.760206733748426,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.6, 'e': 0.3587482976818919}",20,15,-2.739983670510341,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.6, 'e': 0.355160814705073}",20,0,0.05417468030734596,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.6, 'e': 0.35160920655802225}",30,3,-80.67444091407741,"{0: 19, 1: 0, 2: 7, 3: 0, 4: 1}",1
106,False,"{'a': 0.6, 'e': 0.348093114492442}",25,15,-106.5939945077512,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 2}",1
107,False,"{'a': 0.6, 'e': 0.3446121833475176}",20,2,-57.625208691621914,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
108,False,"{'a': 0.6, 'e': 0.34116606151404244}",20,12,13.46998480866249,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.6, 'e': 0.337754400898902}",25,16,-2.897091441586686,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.334376856889913}",20,0,-61.617469312647664,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.6, 'e': 0.33103308832101386}",35,15,-82.01831736822858,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
112,False,"{'a': 0.6, 'e': 0.3277227574378037}",20,0,-51.50076101944464,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
113,False,"{'a': 0.6, 'e': 0.3244455298634257}",30,0,-122.98062448176937,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
114,False,"{'a': 0.6, 'e': 0.3212010745647914}",20,9,10.121518185511505,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.3179890638191435}",25,0,-25.125569729465038,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
116,False,"{'a': 0.6, 'e': 0.31480917318095203}",25,3,-38.18670710143523,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.3116610814491425}",20,11,-39.87396951037827,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.6, 'e': 0.30854447063465107}",20,15,10.414582807801859,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.6, 'e': 0.3054590259283046}",30,12,-2.27195068916303,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.6, 'e': 0.30240443566902153}",30,16,-52.216038494605584,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
121,False,"{'a': 0.6, 'e': 0.2993803913123313}",25,10,-10.778852573879258,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.296386587399208}",30,0,-43.39756268696342,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
123,False,"{'a': 0.6, 'e': 0.2934227215252159}",20,0,-65.41807427667453,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
124,False,"{'a': 0.6, 'e': 0.29048849430996376}",25,0,-29.44413723737477,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.6, 'e': 0.2875836093668641}",30,1,-71.56635345295942,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 1}",1
126,False,"{'a': 0.6, 'e': 0.28470777327319546}",30,13,-94.64962245446733,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 1}",1
127,False,"{'a': 0.6, 'e': 0.2818606955404635}",20,4,28.703106807013036,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.6, 'e': 0.27904208858505886}",30,15,14.065754275438,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.2762516676992083}",25,0,-67.90880007786953,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
130,False,"{'a': 0.6, 'e': 0.2734891510222162}",30,23,12.284387752929714,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.6, 'e': 0.27075425951199406}",25,0,-3.579731080797061,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
132,False,"{'a': 0.6, 'e': 0.2680467169168741}",20,12,-14.74476219227784,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.26536624974770534}",25,7,-26.57605754751333,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.6, 'e': 0.2627125872502283}",20,8,-4.331001776788103,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.6, 'e': 0.26008546137772603}",20,10,11.799484135994401,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
