trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1162,False,"{'a': 0.6, 'e': 0.0029689080398129513}",20,7,24.48313761370192,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1163,False,"{'a': 0.6, 'e': 0.0029540634996138865}",25,1,39.79522889363179,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1164,False,"{'a': 0.6, 'e': 0.002939293182115817}",25,11,27.063180730756816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1165,False,"{'a': 0.6, 'e': 0.002924596716205238}",25,11,18.431407245285257,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1166,False,"{'a': 0.6, 'e': 0.002909973732624212}",20,6,28.762830748828943,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1167,False,"{'a': 0.6, 'e': 0.0028954238639610904}",25,3,30.539143284838634,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1168,False,"{'a': 0.6, 'e': 0.002880946744641285}",20,3,14.353251812398117,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1169,False,"{'a': 0.6, 'e': 0.0028665420109180786}",20,6,24.882776679292746,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1170,False,"{'a': 0.6, 'e': 0.0028522093008634883}",30,11,33.47174073844374,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1171,False,"{'a': 0.6, 'e': 0.0028379482543591707}",20,11,16.81319899650621,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1172,False,"{'a': 0.6, 'e': 0.002823758513087375}",20,0,33.307492267743534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1173,False,"{'a': 0.6, 'e': 0.002809639720521938}",30,12,33.797550423411565,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1174,False,"{'a': 0.6, 'e': 0.0027955915219193286}",25,14,19.595559119139615,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1175,False,"{'a': 0.6, 'e': 0.002781613564309732}",30,12,37.83619467739503,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1176,False,"{'a': 0.6, 'e': 0.002767705496488183}",30,17,24.52392587862092,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1177,False,"{'a': 0.6, 'e': 0.002753866969005742}",20,6,26.1257871662222,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1178,False,"{'a': 0.6, 'e': 0.0027400976341607135}",20,0,27.41413103168608,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1179,False,"{'a': 0.6, 'e': 0.00272639714598991}",30,8,36.63700917652919,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1180,False,"{'a': 0.6, 'e': 0.00271276516025996}",20,14,12.468290412274142,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1181,False,"{'a': 0.6, 'e': 0.0026992013344586605}",25,11,20.945812425708752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1182,False,"{'a': 0.6, 'e': 0.002685705327786367}",20,1,25.53723640805833,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1183,False,"{'a': 0.6, 'e': 0.002672276801147435}",25,8,27.269812170890138,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1184,False,"{'a': 0.6, 'e': 0.0026589154171416983}",20,16,9.065521173656446,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1185,False,"{'a': 0.6, 'e': 0.0026456208400559896}",20,6,26.04717637623866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1186,False,"{'a': 0.6, 'e': 0.0026323927358557096}",25,13,25.009667269324417,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1187,False,"{'a': 0.6, 'e': 0.002619230772176431}",20,14,8.487354288629202,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1188,False,"{'a': 0.6, 'e': 0.002606134618315549}",25,17,16.238512796089378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1189,False,"{'a': 0.6, 'e': 0.0025931039452239714}",20,9,21.769804662345603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1190,False,"{'a': 0.6, 'e': 0.0025801384254978514}",25,14,19.12514537492934,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1191,False,"{'a': 0.6, 'e': 0.002567237733370362}",20,5,22.365846555193166,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1192,False,"{'a': 0.6, 'e': 0.00255440154470351}",20,7,18.32619915418536,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1193,False,"{'a': 0.6, 'e': 0.0025416295369799927}",20,3,19.690875972841827,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1194,False,"{'a': 0.6, 'e': 0.0025289213892950926}",25,5,18.84536688530137,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1195,False,"{'a': 0.6, 'e': 0.0025162767823486173}",30,8,23.86645491275224,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1196,False,"{'a': 0.6, 'e': 0.002503695398436874}",25,16,15.486702990235369,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1197,False,"{'a': 0.6, 'e': 0.00249117692144469}",25,3,32.29836680139958,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1198,False,"{'a': 0.6, 'e': 0.0024787210368374664}",20,9,19.90693958920595,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1199,False,"{'a': 0.6, 'e': 0.002466327431653279}",25,16,13.039387179675229,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1200,False,"{'a': 0.6, 'e': 0.0024539957944950124}",25,3,33.39737791347963,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1201,False,"{'a': 0.6, 'e': 0.0024417258155225376}",20,7,18.461483247493792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1202,False,"{'a': 0.6, 'e': 0.0024295171864449246}",30,12,30.388376864644933,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1203,False,"{'a': 0.6, 'e': 0.0024173696005127003}",25,11,20.22547364277264,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1204,False,"{'a': 0.6, 'e': 0.0024052827525101366}",30,18,16.150713457835018,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1205,False,"{'a': 0.6, 'e': 0.002393256338747586}",20,0,24.21676448720159,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1206,False,"{'a': 0.6, 'e': 0.002381290057053848}",35,16,27.53269519501558,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1207,False,"{'a': 0.6, 'e': 0.0023693836067685786}",20,6,20.54295648565914,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1208,False,"{'a': 0.6, 'e': 0.002357536688734736}",30,15,15.099622872021213,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1209,False,"{'a': 0.6, 'e': 0.002345749005291062}",20,4,26.325770821964273,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1210,False,"{'a': 0.6, 'e': 0.0023340202602646068}",25,11,27.558515163948215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1211,False,"{'a': 0.6, 'e': 0.002322350158963284}",20,8,-6.441434817613862,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
